name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
IC1151	1237665549973913977	239.634777602944	17.4414594306783	4674	301	5	239	GALAXY	14.8114	13.50024	12.94975	12.6607	12.4926
IC1199	1237668350295474285	242.643102610367	10.0402934790993	5326	301	5	283	GALAXY	16.46999	15.15701	14.34048	14.17774	13.43594
IC1256	1237651250451644452	260.94700177109	26.4865413697206	1345	301	2	765	GALAXY	15.72432	14.24598	13.59751	13.11734	12.86934
IC1528	1237672793960349888	1.27241884772266	-7.09338492083058	6361	301	2	44	GALAXY	15.09378	13.66327	12.91432	12.57152	12.36473
IC2095	1237674285388726654	72.1901766241743	-5.12559702073254	6708	301	4	59	GALAXY	16.05812	15.33415	15.08465	15.04151	14.93155
IC2487	1237667429020729529	142.538181029274	20.0908465251154	5112	301	1	218	GALAXY	15.58456	14.08613	13.28885	12.90704	12.57516
IC5309	1237669519048048773	349.798508421201	8.10945618517488	5598	301	6	48	GALAXY	16.28465	14.49209	13.71556	13.2737	13.01822
IC674	1237661850927104033	167.776504412341	43.6330025987368	3813	301	3	144	GALAXY	15.85681	14.02139	13.21318	12.82609	12.47173
IC776	1237658491207680026	184.762959389872	8.85546918434492	3031	301	1	430	GALAXY	20.97362	19.63574	19.32342	19.09995	19.07491
NGC1	1237663235526623298	1.81608935742992	27.7080818394208	4135	301	6	288	GALAXY	15.22498	13.54935	12.69573	12.26958	11.95238
NGC1012	1237670961625956377	39.8123760696186	30.1518657507978	5934	301	5	136	GALAXY	14.38435	13.15336	12.31855	12.13609	11.93121
NGC1042	1237652900228562993	40.0998644674296	-8.43354513400494	1729	301	3	347	GALAXY	15.54921	13.70363	12.92207	12.54124	12.39689
NGC1068	1237666407923318886	40.6696663002652	-0.01321990462165	4874	301	3	692	GALAXY	12.61847	11.12038	10.61621	11.125	10.74164
NGC1087	1237657070091567119	41.604845828985	-0.498679222038114	2700	301	2	143	GALAXY	12.75142	11.82251	11.27231	10.96574	10.81525
NGC160	1237680069097291845	9.01707189168172	23.9579164668504	8055	301	1	32	GALAXY	15.21522	13.30638	12.49031	12.05475	11.76533
NGC1614	1237674283776016403	68.5001913833636	-8.57917538731955	6708	301	1	27	GALAXY	15.36873	14.35053	13.10947	12.73028	12.30643
NGC1645	1237676304020734055	71.0266734982065	-5.46565611252671	7178	301	4	19	GALAXY	15.43793	13.53094	12.68756	12.26248	11.9287
NGC1677	1237674285388988525	72.7172198521893	-4.8927875780903	6708	301	4	63	GALAXY	15.63979	14.72826	14.28037	14.10894	13.87284
NGC171	1237672795577516109	9.33980195937937	-19.9342350167937	6361	301	5	144	GALAXY	15.05123	13.07036	12.22756	11.79433	11.50658
NGC177	1237673017304023171	9.39307134762802	-22.5492183572954	6413	301	2	126	GALAXY	15.94065	14.02864	13.15366	12.68093	12.3955
NGC180	1237669703732363305	9.49042647693437	8.63514940693848	5641	301	6	59	GALAXY	14.96698	13.41257	12.59618	13.89282	11.84718
NGC192	1237663716555489322	9.8058868000229	0.864161901397369	4247	301	6	174	GALAXY	14.96438	13.26888	12.38029	11.94267	11.59935
NGC214	1237678580906590258	10.3668150099286	25.4993666139974	7708	301	5	268	GALAXY	15.00977	12.98607	12.16301	11.77	11.4904
NGC217	1237652947456360495	10.3912256764338	-10.0214296976221	1740	301	3	90	GALAXY	14.76068	12.90994	12.08559	11.59478	11.20722
NGC23	1237663308530253837	2.47263514845946	25.9238193752144	4152	301	6	123	GALAXY	14.25058	12.82107	12.03498	11.70383	11.39283
NGC234	1237653651302711312	10.8849592313547	14.3425614746331	1904	301	2	221	GALAXY	14.55306	13.23345	12.48925	12.1203	11.76846
NGC237	1237657190909935743	10.8660010269688	-0.124924804506195	2728	301	3	485	GALAXY	15.10226	13.6764	13.00865	12.65746	12.43939
NGC2449	1237657776071049351	116.834564113041	26.930180185265	2864	301	5	55	GALAXY	15.42315	13.69875	12.87166	12.39019	12.00691
NGC2486	1237660344462016612	119.485364957467	25.1608633520463	3462	301	5	63	GALAXY	16.15264	14.23837	13.39997	12.9646	12.67684
