name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
NGC2487	1237657877003370507	119.585248900703	25.1492214083153	2888	301	1	64	GALAXY	15.44527	13.54335	12.658	12.20004	11.97269
NGC2500	1237663531331616806	120.471547051993	50.7370892045279	4204	301	5	122	GALAXY	14.10351	12.84919	12.2632	11.96489	12.05212
NGC2540	1237660765908434980	123.193531983509	26.3617673154108	3560	301	6	105	GALAXY	15.26062	13.80236	13.0639	12.69611	12.39183
NGC2552	1237651495760298004	124.835564620819	50.0096018100538	1402	301	3	134	GALAXY	14.69057	13.4749	13.02173	12.73362	12.74904
NGC257	1237669768159232016	12.0063001309427	8.29706708578838	5656	301	6	95	GALAXY	14.73815	13.20876	12.44944	12.0007	11.74786
NGC2604	1237660765373988975	128.346408463282	29.5388106108388	3560	301	5	142	GALAXY	14.41153	13.89152	13.363	13.35817	13.11532
NGC2608	1237660961324597330	128.822227673195	28.4734217122381	3606	301	2	31	GALAXY	15.01562	13.65413	12.83795	12.35016	12.02956
NGC2730	1237667485918036085	135.565975993517	16.8382290111037	5125	301	3	50	GALAXY	15.39219	14.10061	13.51318	13.18103	12.98568
NGC2776	1237657243506573401	138.060491069311	44.9548588487733	2740	301	5	230	GALAXY	14.14251	12.6671	11.96851	11.60948	11.32702
NGC2805	1237663531875827772	140.084943831493	64.1029722014086	4204	301	6	234	GALAXY	15.25334	13.6261	12.92878	12.55159	12.45412
NGC2906	1237661063876509705	143.025911471933	8.44176961344809	3630	301	1	177	GALAXY	15.35479	13.28215	12.3583	11.8748	11.47704
NGC2916	1237667430632063050	143.740002483078	21.7052604582133	5112	301	4	229	GALAXY	15.27188	13.38244	12.71679	12.30378	11.96001
NGC2964	1237664091832057939	145.725920907785	31.8472399656957	4335	301	1	232	GALAXY	13.66166	12.3103	11.45454	11.06738	10.75912
NGC2998	1237658205573808201	147.181806237821	44.0814302895385	2964	301	5	147	GALAXY	14.4345	13.19388	12.55721	12.2392	12.03065
NGC3057	1237671071690194972	151.415484988433	80.2865464320278	5960	301	2	223	GALAXY	15.12205	13.72865	13.36685	13.12853	13.33985
NGC3106	1237664336632741928	151.021883971057	31.1854629966081	4392	301	1	42	GALAXY	15.19861	13.34452	12.48842	12.09378	11.84865
NGC3166	1237654604249104395	153.440148668728	3.42476382702566	2126	301	1	229	GALAXY	13.09307	11.2049	10.35728	9.912922	9.649315
NGC3206	1237655108908023826	155.448305244523	56.9304196846076	2243	301	5	233	GALAXY	14.71985	13.65366	13.13565	12.91671	12.85303
NGC3319	1237661850387546148	159.789418523543	41.6866780542452	3813	301	2	103	GALAXY	14.70997	13.57384	13.1156	12.86463	12.75929
NGC3433	1237658493882663030	163.016116343924	10.1483048384199	3031	301	6	287	GALAXY	15.32089	13.53674	12.7308	12.37127	12.02383
NGC3504	1237667253471543340	165.796843936451	27.9723832327927	5071	301	2	334	GALAXY	13.45459	12.10691	11.39032	11.07359	10.795
NGC36	1237669516369330221	2.84291112423136	6.38935210421083	5598	301	1	134	GALAXY	15.68253	13.66188	12.73357	12.2783	11.95529
NGC3614	1237661356465979508	169.588851401408	45.748179224431	3698	301	2	98	GALAXY	14.72376	13.28957	12.62657	12.28007	12.08657
NGC3642	1237658303281430564	170.574558713916	59.0745181735661	2987	301	3	103	GALAXY	13.64433	12.17144	11.5181	11.19456	10.98766
NGC3687	1237667211598233635	172.002528252111	29.5110551401974	5061	301	4	374	GALAXY	14.7261	13.0202	12.28035	11.91259	11.65111
NGC3811	1237661358078427192	175.319281586671	47.6908105178903	3698	301	5	126	GALAXY	14.99783	13.40337	12.58143	12.14202	11.89544
NGC3893	1237658203435499566	177.159007232893	48.7108985957306	2964	301	1	287	GALAXY	12.9725	11.61668	11.07266	10.7685	10.5743
NGC3898	1237661351631650866	177.313542707564	56.0845544277008	3697	301	1	60	GALAXY	13.57289	11.69274	10.89015	10.481	10.19369
NGC3938	1237661871864545363	178.205984440182	44.1207428368733	3818	301	2	136	GALAXY	13.71193	12.38627	11.65854	11.29106	10.96428
NGC3994	1237665226766483567	179.403609920276	32.2776252864529	4599	301	3	69	GALAXY	15.14921	13.59691	12.67789	12.22196	11.90682
NGC4030	1237654668675055622	180.098442668777	-1.10009356011736	2141	301	1	251	GALAXY	14.1825	12.62057	11.82454	11.39788	11.03987
NGC4047	1237661435917762567	180.711177230309	48.6361982254786	3716	301	6	20	GALAXY	14.10655	12.73045	12.07581	11.72334	11.48728
NGC4064	1237668496857759778	181.046522551228	18.4435723405946	5360	301	6	230	GALAXY	14.46888	12.75679	11.9721	11.56823	11.28778
NGC4102	1237657857147207827	181.595845281845	52.7110413963393	2883	301	4	187	GALAXY	14.17138	12.35442	11.24142	11.61576	10.37803
NGC4123	1237651736831590435	182.046284564395	2.87828801727282	1458	301	4	382	GALAXY	14.63031	13.12422	12.30764	11.94588	11.68492
NGC4136	1237667254014771254	182.323778748581	29.9276265181809	5071	301	3	431	GALAXY	14.76023	13.44993	12.69248	12.46354	12.17924
NGC4151	1237664667907915840	182.635697141774	39.4058770380844	4469	301	2	436	GALAXY	13.935	11.70646	11.25502	11.09757	11.1317
NGC4185	1237667324330115100	183.342459781327	28.510977057948	5087	301	6	206	GALAXY	14.72079	13.06766	12.33769	11.97254	11.75493
NGC4204	1237667916493619225	183.8101265407	20.6586060817436	5225	301	5	128	GALAXY	14.64749	13.5498	13.09702	12.78576	12.91066
NGC4210	1237654400766509251	183.816005837497	65.9853259040251	2078	301	6	99	GALAXY	15.06841	13.43017	12.69286	12.28369	11.95076
NGC428	1237663278472626194	18.2323706806467	0.981503682808717	4145	301	6	232	GALAXY	13.36334	12.16842	11.67774	11.45237	11.35606
NGC4299	1237658628620877951	185.419254523697	11.5009507844688	3063	301	1	37	STAR	20.22899	19.93795	19.7524	19.92777	19.78132
NGC4351	1237658629694881810	186.006224855151	12.2048001412246	3063	301	3	41	GALAXY	14.3545	13.08763	12.67776	12.49519	12.37267
NGC444	1237680310162554935	18.9566001881665	31.0805202988607	8111	301	2	188	GALAXY	15.85524	14.56266	13.9618	13.63215	13.45036
NGC4457	1237651737907626002	187.246026977164	3.5706320708612	1458	301	6	417	GALAXY	13.26004	11.52196	10.62833	10.3236	10.04449
NGC4470	1237661976011341911	187.407395419952	7.82410855059216	3842	301	4	42	GALAXY	13.88354	12.94646	12.46044	12.17509	12.04837
NGC4496A	1237655123937001557	187.915126404891	3.94048403281122	2247	301	1	181	GALAXY	20.45098	19.37977	19.05428	18.81005	18.64239
NGC450	1237666338116206712	18.8768543296118	-0.860976085415869	4858	301	1	480	GALAXY	14.65766	13.34723	12.82945	12.60463	12.55093
NGC4522	1237658491746123826	188.415457496734	9.17501781549087	3031	301	2	454	GALAXY	13.99405	12.81057	12.15256	11.78902	11.60972
NGC4536	1237651753477210142	188.612614082403	2.18814920467038	1462	301	3	422	GALAXY	14.79409	12.71133	11.64295	11.11333	10.73208
NGC4540	1237661070338555924	188.711960997339	15.551736655714	3631	301	5	476	GALAXY	14.06219	12.9625	12.0907	11.80852	12.01519
NGC4618	1237661965821280286	190.38403346959	41.1498162847894	3840	301	1	202	GALAXY	12.63081	11.58313	11.18514	10.9402	10.83062
NGC4644	1237658917994496082	190.677748992512	55.1455279789862	3130	301	4	40	GALAXY	16.05487	14.4296	13.61989	13.22717	12.95627
NGC4654	1237658630770720842	190.985781041199	13.1266516633013	3063	301	5	73	GALAXY	13.70554	12.35776	11.52381	11.1049	10.81845
NGC4682	1237671264955400292	191.814576121384	-10.0633538199134	6005	301	2	96	GALAXY	14.54999	13.08463	12.36734	12.0257	11.77082
NGC4691	1237671264958349432	192.056909006837	-3.33285049649985	6005	301	2	141	GALAXY	16.79193	16.13786	16.06627	15.8615	15.85878
NGC4701	1237671763177439291	192.298277008728	3.38871399720538	6121	301	2	185	GALAXY	14.28959	13.12467	12.5767	12.30612	12.11589
NGC4711	1237665129083371687	192.191117451122	35.3327026622368	4576	301	5	487	GALAXY	15.36039	13.90677	13.23395	12.85171	12.61843
NGC477	1237666216228880479	20.334788454548	40.4881839763627	4829	301	6	211	GALAXY	15.74502	14.21002	13.44075	12.97571	12.66893
NGC4814	1237661388673515530	193.841333260013	58.3441035530093	3705	301	6	26	GALAXY	14.35227	12.74457	11.97918	11.59305	11.35092
NGC488	1237678662506643514	20.4449959187548	5.25687132248977	7727	301	5	202	GALAXY	13.50862	11.47492	10.58537	10.1087	9.806722
NGC4904	1237648721237377109	195.244486963822	-0.0275503531956015	756	301	3	530	GALAXY	14.44779	13.18496	12.53171	12.27693	12.11641
NGC496	1237678806920200549	20.7983279381364	33.5292769644753	7761	301	2	130	GALAXY	15.39658	14.16159	13.48265	13.15825	12.9503
NGC4961	1237667444049248315	196.448210119371	27.7341448763953	5115	301	5	159	GALAXY	14.67825	13.57861	13.13811	12.95821	12.77957
NGC497	1237666338116993064	20.599053795537	-0.875207662130009	4858	301	1	492	GALAXY	15.89944	13.8901	12.954	12.49388	12.127
NGC5000	1237665428090781711	197.447854151202	28.906944421506	4646	301	2	34	GALAXY	15.15139	13.6812	12.9212	12.54661	12.23797
NGC5016	1237667911135330321	198.027836358728	24.095015486441	5224	301	3	287	GALAXY	14.11928	12.94408	12.35984	12.05617	11.887
NGC5056	1237665329320755210	199.051353001619	30.950311786158	4623	301	2	251	GALAXY	15.9372	13.85241	13.13147	12.80499	12.58759
NGC5204	1237655107845029948	202.403570725173	58.4188326484351	2243	301	3	397	STAR	24.63466	25.11438	24.80203	21.52981	22.00645
NGC5205	1237655371439079453	202.514882598255	62.5115500012008	2304	301	6	251	GALAXY	14.84521	13.18175	12.46376	12.08061	11.78469
NGC5218	1237654608534896736	203.04310225782	62.7677459976149	2127	301	1	89	GALAXY	14.69255	13.11292	12.19491	11.74634	11.49547
NGC5378	1237664295298662446	209.212566154345	37.7972461202694	4382	301	4	118	GALAXY	15.1403	13.29916	12.53178	12.16267	11.88109
NGC5383	1237661850403471410	209.270719707399	41.8462596706179	3813	301	2	346	GALAXY	14.01881	12.78809	11.87627	11.48497	11.11574
NGC5394	1237662225149722677	209.640156408999	37.4535455658683	3900	301	4	504	GALAXY	15.33768	14.19537	13.35972	12.9838	12.56243
NGC5406	1237662305650999364	210.083828827166	38.9154295384782	3919	301	2	56	GALAXY	15.13134	13.10418	12.21491	11.80293	11.49838
NGC5480	1237659118248329252	211.589901691677	50.7250628538591	3177	301	1	55	GALAXY	13.93809	12.79285	12.24983	11.99459	11.74623
NGC551	1237666214080020583	21.9193021302655	37.1829979127628	4829	301	2	190	GALAXY	15.59995	14.09609	13.27866	12.80421	12.49445
NGC5520	1237659118248788024	213.095044912991	50.3484196822303	3177	301	1	62	GALAXY	14.38603	13.1877	12.49575	12.17479	11.86811
NGC5630	1237661874024415367	216.902696186093	41.2576730329183	3818	301	6	325	GALAXY	14.69015	13.56874	13.16515	12.96546	12.85478
NGC5633	1237658205594648623	216.868295523126	46.1465671080566	2964	301	5	465	GALAXY	14.17093	12.96746	12.31542	11.98166	11.74167
NGC5657	1237665352928133180	217.681664057149	29.1807760363974	4628	301	6	23	GALAXY	15.49074	14.0832	13.21008	12.80388	12.42459
NGC5668	1237654880738476143	218.351270748965	4.45048993916147	2190	301	4	242	GALAXY	14.29035	12.9347	12.39476	12.11363	12.29997
NGC5669	1237661949195124777	218.181314778469	9.88932602718928	3836	301	2	459	STAR	21.30056	20.89517	21.08977	21.67817	21.3818
NGC5682	1237662303509676065	218.687345829048	48.6702466666913	3918	301	6	150	GALAXY	15.43752	14.46265	14.01877	13.78243	13.62428
NGC5720	1237659133819944988	219.638690387788	50.8152452665751	3180	301	6	91	GALAXY	15.7966	13.97914	13.20898	12.83967	12.561
NGC5732	1237661850407403662	220.162303244314	38.6378285523417	3813	301	2	406	GALAXY	15.37616	14.12044	13.57463	13.32565	13.1405
NGC5789	1237664852573945955	224.147783093749	30.2337712766273	4512	301	2	168	STAR	24.63465	25.11437	24.80202	22.07449	22.8269
NGC5850	1237655468598165676	226.782049278883	1.54427275498191	2327	301	3	29	GALAXY	14.38333	12.41238	11.47942	11.02049	10.714
NGC5888	1237658205061972048	228.280724061709	41.2646307274752	2964	301	4	529	GALAXY	15.71238	13.82545	12.9417	12.52851	12.14651
NGC5905	1237668601533759500	228.847295848296	55.5172846624177	5385	301	1	19	GALAXY	14.69332	13.0771	12.23572	11.83868	11.55655
NGC5930	1237662301903978605	231.533128632605	41.6760758810578	3918	301	3	225	GALAXY	14.92103	13.41269	12.50337	12.07029	11.62669
NGC5934	1237662303514394754	232.053170625263	42.9298896527149	3918	301	6	222	GALAXY	16.37346	14.19301	13.27988	12.79007	12.42425
NGC5947	1237662303514656781	232.65247626864	42.7171474425538	3918	301	6	226	GALAXY	15.66032	14.12787	13.41502	13.05871	12.80215
NGC5964	1237658781634461732	234.400002709423	5.97556333892943	3098	301	6	119	GALAXY	21.74397	19.82771	19.34524	19.02172	18.74987
NGC5971	1237651537649270889	233.903747225486	56.4616924379876	1412	301	1	333	GALAXY	15.86132	14.2027	13.42169	13.02838	12.78511
NGC6004	1237665441533329494	237.594670717282	18.9392767585222	4649	301	3	351	GALAXY	14.76488	13.40544	12.66994	12.29995	11.92035
NGC6032	1237665101685391438	240.754691701324	20.955932363212	4570	301	2	219	GALAXY	15.94362	14.30527	13.41329	12.97101	12.71956
NGC6060	1237665102759329829	241.466634481303	21.4849145573313	4570	301	4	222	GALAXY	15.49855	13.53461	12.55806	12.0469	11.62339
NGC6063	1237662200437211154	241.804146212714	7.97899914563666	3894	301	6	253	GALAXY	14.92812	13.64872	12.98005	12.63263	12.39517
NGC6154	1237668611734962361	246.377007820714	49.8402720987502	5387	301	4	29	GALAXY	15.58574	13.58992	12.75871	12.34789	12.17375
NGC6155	1237654953202352248	246.534716594436	48.366799475913	2207	301	3	33	GALAXY	14.39534	13.15548	12.5368	12.24338	12.02108
NGC6301	1237665582721007918	257.136445307851	42.3391208240204	4682	301	2	208	GALAXY	16.00396	14.74464	13.14524	12.72837	12.8827
NGC6478	1237656562755829795	267.159795706166	51.1572522005509	2582	301	1	254	GALAXY	15.73782	14.04357	13.23394	12.73869	12.32792
NGC6497	1237656564899709121	267.824890135919	59.4708654569016	2582	301	5	199	GALAXY	15.89105	13.93248	13.03878	12.60304	12.32306
NGC6941	1237652936176894483	309.097804246745	-4.61874142891258	1737	301	6	11	GALAXY	15.82161	13.95897	13.05907	12.63152	12.30713
NGC701	1237670955715919911	27.7663065048889	-9.70240974311911	5933	301	2	68	GALAXY	13.78943	12.50091	11.8198	11.50203	11.25189
NGC7047	1237663456703545733	319.11517787113	-0.826472889961989	4187	301	2	76	GALAXY	15.8354	14.24228	13.40633	12.94896	12.6037
NGC7321	1237666243610935464	339.116775008504	21.6217608717214	4836	301	1	236	GALAXY	15.29556	13.68242	12.87161	12.48489	12.08299
NGC7489	1237672764441100346	346.886261394411	22.998099540482	6354	301	3	176	GALAXY	15.96725	14.3959	13.5709	13.13986	12.83232
NGC7549	1237672815977496655	348.821951909259	19.0417754905405	6366	301	3	127	GALAXY	15.77758	14.00517	13.17139	12.66864	12.23275
NGC7653	1237672764444901494	351.205645984285	15.27559431175	6354	301	3	234	GALAXY	15.28493	13.4273	12.55582	12.1003	11.81752
NGC7664	1237678542236614733	351.665716530705	25.0802608980393	7699	301	5	35	GALAXY	15.12	13.37862	12.57817	12.16545	11.91485
NGC768	1237663784747270171	29.670574849643	0.52922360845439	4263	301	5	314	GALAXY	15.7258	14.18786	13.45197	13.06113	12.73029
NGC7691	1237652944783015999	353.10184919224	15.8479832516108	1739	301	6	258	GALAXY	14.97594	13.66308	13.01188	12.68179	12.44901
NGC7716	1237666408439873551	354.131042774701	0.297267220469339	4874	301	4	382	GALAXY	14.94211	13.01809	12.14577	11.74755	11.48866
NGC7741	1237680275258277966	355.976598511904	26.0760216716685	8103	301	1	71	GALAXY	14.09094	12.90634	12.37334	12.08017	11.93398
NGC7743	1237678906780876807	356.088036965773	9.93412649645789	7784	301	4	171	GALAXY	14.19571	12.36038	11.57986	11.20509	10.94233
NGC776	1237678585187532823	29.9771650388702	23.6442889557731	7709	301	5	54	GALAXY	16.12591	13.79702	12.85755	12.37812	12.02857
NGC7819	1237663308527763474	1.10210732515554	31.472010220487	4152	301	6	85	GALAXY	14.99063	13.99274	13.25863	12.95487	12.66303
NGC7824	1237669680114696248	1.27598479436688	6.92014880784173	5636	301	2	130	GALAXY	15.6057	13.62675	12.68691	12.24862	11.89924
NGC853	1237670955718148158	32.9232909155348	-9.30436755960784	5933	301	2	102	GALAXY	14.29962	13.427	13.03876	12.9082	12.78972
NGC864	1237670015120113700	33.8651509672558	6.00260186220887	5714	301	2	99	GALAXY	14.59297	12.95741	12.21806	11.84632	11.54192
NGC895	1237679321787727971	35.4019943593397	-5.52123236272526	7881	301	1	257	GALAXY	14.77758	13.21784	12.51584	12.19146	11.93888
PGC02162	1237678617958678600	9.05397741923269	1.71240312099224	7717	301	2	390	GALAXY	16.07546	14.61453	13.99676	13.71226	13.45939
PGC03512	1237663784740716552	14.7035921664892	0.587243157798077	4263	301	5	214	GALAXY	15.53708	14.25728	13.63152	13.30682	13.10011
PGC05673	1237653651844628666	22.8610035700115	14.2775005244995	1904	301	3	298	GALAXY	15.48461	14.16318	13.53374	13.19603	12.97106
PGC06855	1237649918971216048	27.8746695824823	13.131714687187	1035	301	2	146	GALAXY	16.00368	14.70105	14.00724	13.61348	13.44215
PGC07826	1237679504331636754	30.834223232447	18.6295958372491	7923	301	5	376	GALAXY	15.86078	14.51669	13.94606	13.64164	13.49306
PGC15531	1237666302174167340	68.4839784494034	1.1135864209145	4849	301	6	912	GALAXY	16.62494	14.98143	14.27507	13.89843	13.74182
PGC20938	1237674368064094842	111.197053577775	32.8040882991742	6727	301	6	17	GALAXY	16.54471	15.03281	14.40886	14.09799	13.86742
PGC23333	1237661125611618393	124.814681944791	24.7926655828727	3644	301	4	100	GALAXY	16.04357	14.50175	13.98315	13.72369	13.58131
PGC23598	1237663530797039897	126.132745566682	54.8538866247919	4204	301	4	157	GALAXY	16.48347	14.97592	14.26053	13.89131	13.62731
PGC23913	1237663789033390247	127.862721318692	60.9951991445885	4264	301	5	179	GALAXY	15.99285	14.47594	13.84444	13.49751	13.28963
PGC24788	1237658205030908013	132.318318677327	36.1198055073869	2964	301	4	55	GALAXY	15.67604	14.49755	13.96112	13.63772	13.44012
PGC26140	1237667537465704588	139.007454674451	17.5898177547718	5137	301	3	173	GALAXY	15.70331	13.87125	13.01321	12.59127	12.27212
PGC26517	1237654605854081247	140.525864567162	3.89727196612103	2126	301	4	143	GALAXY	16.53245	15.17518	14.64801	14.32207	14.23108
PGC27792	1237660636528574506	145.774598277739	41.0934366718101	3530	301	5	197	GALAXY	15.42632	14.67614	13.76114	13.42792	13.29502
PGC28310	1237670965388771509	147.547126852933	16.286655678361	5935	301	4	208	GALAXY	16.1348	14.9663	14.49998	14.24975	14.05602
PGC28401	1237663530803658889	147.916816312423	65.4910900323722	4204	301	4	258	GALAXY	16.06532	14.20061	13.30139	12.87746	12.66041
PGC31159	1237668495774384300	158.198167797885	15.8608219197622	5360	301	4	83	GALAXY	15.80356	14.49726	13.88296	13.55137	13.31877
PGC32638	1237671932819341335	163.108168025318	10.5472823741877	6160	301	6	43	GALAXY	15.35625	14.07657	13.45877	13.15936	12.93629
PGC33465	1237661356464865320	166.153984750104	45.1251956553214	3698	301	2	81	GALAXY	14.79117	13.52369	12.70191	12.29244	11.95228
PGC36925	1237671752434843778	177.332482320525	74.3022237375312	6118	301	6	106	GALAXY	15.83217	14.22465	13.49796	13.12319	12.86203
PGC38268	1237667209991159899	181.303218543335	28.7818815100991	5061	301	1	428	GALAXY	16.15911	14.80428	14.23869	13.95042	13.81474
PGC38908	1237664667371241537	183.116531590836	39.1109307058943	4469	301	1	439	GALAXY	15.52517	14.01457	13.36795	13.02709	12.69423
PGC55750	1237665429179793438	235.028171516538	20.6805945406331	4646	301	4	267	GALAXY	16.12003	14.19583	13.46706	13.10412	12.94583
PGC56010	1237662335716950264	236.642666909172	33.2232413513637	3926	301	2	74	GALAXY	16.65904	15.1945	14.67898	14.40318	14.29516
PGC57931	1237659325491838985	245.500789180205	40.4478669316524	3225	301	3	228	GALAXY	16.23999	14.94664	14.34197	14.05517	13.8288
PGC58410	1237655374109868301	247.766158786322	41.1560457195312	2305	301	3	44	GALAXY	15.87508	14.26543	13.53332	13.15626	12.88017
PGC71106	1237678541162152193	350.023673385041	24.221141472368	7699	301	3	24	GALAXY	15.41381	13.91943	13.19626	12.82453	12.53227
PGC72144	1237678540090572971	355.472334241501	23.8149977223063	7699	301	1	57	GALAXY	17.21307	15.64329	14.96788	14.61351	14.34077
PGC72453	1237679456534462740	357.018803210309	17.4751110828875	7912	301	4	137	GALAXY	16.32328	14.59356	13.78706	13.37329	13.15089
UGC10310	1237651250440896579	244.077010851981	47.0460168891069	1345	301	2	601	GALAXY	20.75889	20.64992	20.55556	21.01126	20.82082
UGC10796	1237651310534066278	259.198843866234	61.9201160749647	1359	301	2	46	GALAXY	15.16703	14.29167	13.91163	13.72544	13.58952
UGC1081	1237679477479505968	22.6943462907683	21.4404184126665	7917	301	3	245	GALAXY	15.20378	13.87902	13.28837	12.87249	12.54215
UGC10811	1237651226246185083	259.682197408907	58.1351167729129	1339	301	5	59	GALAXY	16.35232	14.59647	13.76072	13.31614	13.00374
UGC1087	1237653651844628666	22.8610035700115	14.2775005244995	1904	301	3	298	GALAXY	15.48461	14.16318	13.53374	13.19603	12.97106
UGC11262	1237668681534079838	277.648745411716	42.6926946658837	5403	301	6	119	GALAXY	16.34665	15.01062	14.32839	13.97754	13.72877
UGC12224	1237669696765558965	343.159838046847	6.09362340003036	5640	301	1	250	GALAXY	15.04232	13.80624	13.03373	12.67135	12.41394
UGC12274	1237672763902591078	344.58168450274	26.0619803259933	6354	301	2	151	GALAXY	16.67011	14.64555	13.64064	13.14591	12.7472
UGC12308	1237656495644344517	345.32783673025	14.3395857383512	2566	301	4	214	GALAXY	15.54533	14.42696	14.01287	13.77819	13.70168
UGC12391	1237678919662305342	347.238234314833	12.048024932406	7787	301	4	118	GALAXY	15.49824	14.02748	13.32354	12.93405	12.69985
UGC12494	1237669517437370419	349.719024962714	6.87691958436393	5598	301	3	47	GALAXY	16.32569	15.15851	14.62495	14.4	14.34148
UGC12816	1237672842815340699	357.961202295106	3.08275180683571	6372	301	5	40	GALAXY	15.28191	14.17454	13.61155	13.3121	13.10283
UGC12864	1237663306380345386	359.349666671587	30.992066350777	4152	301	2	86	GALAXY	15.69149	14.39376	13.73651	13.45376	13.21975
UGC1529	1237678859021582515	30.6291691919994	11.0929947867648	7773	301	3	510	GALAXY	15.87797	14.19689	13.35917	12.99355	12.70392
UGC1635	1237667228222423091	32.1156637760358	6.39505135757004	5065	301	3	87	GALAXY	15.64545	14.22128	13.5185	13.05054	12.93555
UGC1862	1237678880499564566	36.1032970228751	-2.16232699210248	7778	301	3	558	GALAXY	15.1318	13.64687	13.06159	12.77165	12.9734
UGC3091	1237666302174167340	68.4839784494034	1.1135864209145	4849	301	6	912	GALAXY	16.62494	14.98143	14.27507	13.89843	13.74182
UGC312	1237669768157397057	7.84966902709846	8.46673937440485	5656	301	6	67	GALAXY	14.79787	13.9042	13.47847	13.28919	13.11814
UGC3140	1237646647833788590	70.7288277145212	0.618606644030605	273	301	5	406	GALAXY	15.42223	13.62059	12.54559	12.27778	11.94855
UGC3253	1237671567745351753	79.9245547488919	84.0526234603926	6075	301	6	16	GALAXY	15.887	14.03777	13.19921	12.67706	12.40476
