name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
IC750	1237662195061686301	179.717513074103	42.7224739665664	3893	301	4	149	GALAXY	14.7149	12.61564	11.60166	11.06687	10.61575
NGC1309	1237667248620109842	50.527321985986	-15.399945042795	5070	301	1	35	GALAXY	13.55704	12.15531	11.50783	11.20535	10.97929
NGC1324	1237649964066406405	51.2570274708181	-5.74579336003769	1045	301	6	116	GALAXY	15.10979	13.25883	12.34638	11.86944	11.5098
NGC2268	1237671073297858675	108.572638599317	84.3822694951116	5960	301	5	178	GALAXY	14.45979	12.57831	11.62638	11.1475	10.81706
NGC2713	1237654601019686930	134.335441971827	2.92131740520573	2125	301	3	104	GALAXY	14.60304	12.56482	11.6021	11.11172	10.69133
NGC3003	1237664668432138249	147.148280525205	33.4216093422343	4469	301	3	243	GALAXY	14.29213	13.02031	12.41046	12.14163	11.99229
NGC3185	1237667550340841534	154.410557828181	21.6883865143912	5140	301	3	24	GALAXY	15.49618	14.1282	13.31563	12.99736	12.73554
NGC3370	1237668292296114194	161.766884425669	17.2736135328231	5313	301	1	19	GALAXY	14.31708	12.80735	12.10683	11.77081	11.58533
NGC3430	1237665016311709829	163.047524679978	32.9504140895669	4550	301	3	48	GALAXY	14.2311	12.65425	11.85964	11.44299	11.22403
NGC3726	1237661357540966422	173.338049493484	47.0292361186552	3698	301	4	117	GALAXY	14.43132	12.89415	12.23215	11.94227	11.63172
NGC3813	1237664818211061783	175.327736722691	36.5468027473995	4504	301	2	120	GALAXY	14.04335	12.45351	11.74346	11.36579	11.10482
NGC3877	1237660636001665059	176.532490679858	47.494753987583	3530	301	4	349	GALAXY	14.23617	12.57193	11.63075	11.13328	10.81675
NGC3917	1237657856072417359	177.689315094412	51.8246520098877	2883	301	2	171	GALAXY	14.74874	13.0042	12.24562	11.80793	11.60413
NGC4096	1237661357543391273	181.504764391028	47.4784403508724	3698	301	4	154	GALAXY	14.01983	12.32709	11.57468	11.14502	10.90845
NGC4162	1237667446192209928	182.968726318646	24.123618419444	5116	301	1	90	GALAXY	14.69762	13.14566	12.39617	11.90247	11.57121
NGC4178	1237658493891313737	183.193037331007	10.8652636177353	3031	301	6	419	GALAXY	14.07337	12.79942	12.15292	11.79953	11.63323
NGC4220	1237661434844938280	184.04879465902	47.883244747305	3716	301	4	34	GALAXY	14.14313	12.30772	11.46723	10.99994	10.7464
NGC4274	1237665441512030238	184.960822099517	29.6147179610639	4649	301	3	26	GALAXY	13.5678	11.73483	10.83526	10.38072	9.994867
NGC4579	1237658629159518212	189.43138166472	11.8181956740729	3063	301	2	64	GALAXY	13.10021	12.00208	10.26826	9.870481	10.02669
NGC4586	1237655124474593475	189.618346968964	4.31908501034437	2247	301	2	192	GALAXY	15.71267	13.06059	11.94329	11.3408	10.96229
NGC4602	1237671765321187358	190.153830973992	-5.1327782229708	6121	301	6	128	GALAXY	14.43133	12.6986	11.86251	11.42524	11.11765
NGC470	1237678620110880879	19.9370502730142	3.40981501082407	7717	301	6	462	GALAXY	14.48563	13.08143	12.17996	11.76658	11.39039
NGC4771	1237651752405565444	193.338406552221	1.26909552477613	1462	301	1	454	GALAXY	14.23259	12.70809	11.96197	11.52125	11.29703
NGC4800	1237661360758521885	193.657453392594	46.5311632800415	3699	301	2	61	GALAXY	13.36677	11.71365	10.90691	10.57342	10.26682
NGC4845	1237651735226417233	194.504955151368	1.57584429534866	1458	301	1	465	GALAXY	15.03602	13.18775	12.03699	11.39948	10.85883
NGC5443	1237661418748575772	210.549166440037	55.814026090391	3712	301	6	183	GALAXY	14.58176	12.88557	12.06462	11.63586	11.30903
NGC5522	1237668349209149549	213.709877966446	15.1468844935439	5326	301	3	91	GALAXY	15.30228	13.78956	12.93157	12.49666	12.06833
NGC5533	1237662661595824205	214.032260144553	35.3438282924099	4002	301	1	47	GALAXY	14.42782	12.61821	11.77014	11.34617	11.03404
NGC5559	1237665549963296916	214.803267593334	24.7987347869031	4674	301	5	77	GALAXY	16.1383	14.3954	13.56076	13.08788	12.80792
NGC5587	1237668348136259649	215.544630891648	13.9180508087109	5326	301	1	104	GALAXY	15.16471	13.335	12.52166	12.08958	11.80456
NGC5616	1237662663743897763	216.086252382149	36.4614259829563	4002	301	5	56	GALAXY	15.53566	13.90121	13.03991	12.54174	12.14787
NGC5656	1237662225152671761	217.606283263454	35.321029618561	3900	301	4	549	GALAXY	14.78533	13.15136	12.37747	11.93999	11.61942
NGC5690	1237651736847974418	219.421132874301	2.29077384888558	1458	301	4	632	GALAXY	20.90885	19.1095	18.07652	17.52242	17.08331
NGC5750	1237648704056918077	221.546346767275	-0.222941179332189	752	301	3	521	GALAXY	14.30333	12.53998	11.68977	11.24707	10.93075
NGC6118	1237668651464982741	245.452613445241	-2.28362858741661	5396	301	6	53	GALAXY	15.38304	13.49104	12.57012	12.05438	11.72742
NGC716	1237649918434541599	28.2486667063346	12.7084729704061	1035	301	1	149	GALAXY	15.36067	13.85695	12.95538	12.49921	12.16693
NGC7448	1237678600762032255	345.014989453309	15.9802402846341	7713	301	2	134	GALAXY	13.58507	12.26137	11.65025	11.34728	11.11435
NGC7721	1237680243595608083	354.702754643421	-6.51775349450501	8095	301	6	265	GALAXY	14.15078	12.63527	11.87776	11.45981	11.25191
NGC779	1237679440422961166	29.9277511626318	-5.96429917783179	7908	301	6	55	GALAXY	13.63319	11.91141	11.10075	10.68659	10.35717
NGC787	1237652900761174034	30.2025710514607	-9.00257340545434	1729	301	4	282	GALAXY	15.00634	13.18276	12.26084	11.83	11.51665
